"ID","Indicator","Red","Green","Blue"
60793,"0",255,255,247
60794,"0",255,227,161
60795,"0",255,166,117
60796,"0",255,255,244
60797,"0",255,183,137
60798,"0",255,255,245
60799,"0",255,226,159
60800,"0",255,206,163
60801,"0",255,255,239
60802,"0",255,222,157
60803,"0",255,255,243
60804,"0",255,213,153
60805,"0",255,255,240
60806,"0",255,236,185
60807,"0",255,255,244
60808,"0",255,255,244
60809,"0",255,206,148
60810,"0",255,255,202
60811,"0",255,255,246
60812,"0",251,196,143
60813,"0",255,255,210
60814,"0",236,183,140
60815,"0",255,255,246
60816,"0",255,255,246
60817,"0",255,255,220
60818,"0",223,170,139
60819,"0",255,255,226
60820,"0",255,255,245
60821,"0",255,255,223
60822,"0",230,162,137
60823,"0",255,255,245
60824,"0",255,255,243
60825,"0",238,174,147
60826,"0",255,255,242
60827,"0",255,255,219
60828,"0",255,255,245
60829,"0",255,255,245
60830,"0",255,255,213
60831,"0",244,202,164
60832,"0",255,255,242
60833,"0",255,255,241
60834,"0",255,255,209
60835,"0",255,214,173
60836,"0",255,255,241
60837,"0",255,255,209
60838,"0",255,249,189
60839,"0",255,255,240
60840,"0",255,255,241
60841,"0",255,255,214
60842,"0",255,255,205
60843,"0",255,255,211
60844,"0",255,255,238
60845,"0",255,255,223
60846,"0",255,255,237
60847,"0",255,255,236
60848,"0",255,255,208
60849,"0",255,255,236
60850,"0",255,255,228
60851,"0",255,255,207
60852,"0",255,255,238
60853,"0",255,255,196
60854,"0",255,255,222
60855,"0",255,255,225
60856,"0",255,255,240
60857,"0",255,255,206
60858,"0",255,255,241
60859,"0",255,255,214
60860,"0",255,251,186
60861,"0",255,233,187
60862,"0",255,255,199
60863,"0",255,255,242
60864,"0",255,255,199
60865,"0",255,253,200
60866,"0",255,247,196
60867,"0",255,255,244
60868,"0",255,255,245
60869,"0",255,255,203
60870,"0",255,255,199
60871,"0",255,248,194
60872,"0",255,255,212
60873,"0",255,255,244
60874,"0",255,255,217
60875,"0",255,247,188
60876,"0",255,255,204
60877,"0",255,255,244
60878,"0",255,252,193
60879,"0",255,246,193
60880,"0",255,233,173
60881,"0",255,255,243
60882,"0",255,255,196
60883,"0",252,201,152
60884,"0",255,255,243
60885,"0",255,255,191
60886,"0",255,255,241
60887,"0",214,166,130
60888,"0",255,255,196
60889,"0",255,228,180
60890,"0",165,132,116
60891,"0",255,227,168
60892,"0",255,255,240
60893,"0",255,255,241
60894,"0",147,122,103
60895,"0",240,195,146
60896,"0",195,158,121
60897,"0",255,255,242
60898,"0",136,121,95
60899,"0",212,173,127
60900,"0",255,255,245
60901,"0",174,141,110
60902,"0",131,122,95
60903,"0",157,133,102
60904,"0",147,128,98
60905,"0",131,120,93
60906,"0",255,255,248
60907,"0",138,128,91
60908,"0",132,121,93
60909,"0",255,255,254
60910,"0",133,125,97
60911,"0",129,117,89
60912,"0",133,122,88
60913,"0",255,255,255
60914,"0",123,115,92
60915,"0",147,133,100
60916,"0",255,255,255
60917,"0",120,106,92
60918,"0",255,255,255
60919,"0",171,147,104
60920,"0",118,104,88
60921,"0",191,171,132
60922,"0",118,108,85
60923,"0",118,101,86
60924,"0",255,255,255
60925,"0",119,119,89
60926,"0",223,207,150
60927,"0",255,255,255
60928,"0",135,118,92
60929,"0",255,241,166
60930,"0",255,255,237
60931,"0",139,128,92
60932,"0",150,142,96
60933,"0",255,248,171
60934,"0",255,255,217
60935,"0",150,144,102
60936,"0",255,249,180
60937,"0",255,255,193
60938,"0",153,150,103
60939,"0",156,142,105
60940,"0",255,241,183
60941,"0",255,228,186
60942,"0",153,141,104
60943,"0",255,244,194
60944,"0",255,228,173
60945,"0",152,141,107
60946,"0",149,138,104
60947,"0",255,247,206
60948,"0",255,217,163
60949,"0",149,139,105
60950,"0",255,255,211
60951,"0",255,214,154
60952,"0",151,141,108
60953,"0",252,208,144
60954,"0",165,176,112
60955,"0",255,255,212
60956,"0",159,158,110
60957,"0",249,196,135
60958,"0",167,151,104
60959,"0",255,255,213
60960,"0",149,134,93
60961,"0",145,131,93
60962,"0",255,255,224
60963,"0",200,159,123
60964,"0",255,255,230
60965,"0",196,168,126
