,Unnamed: 0,number_of_stars,number_of_planets,number_of_moons,circumbinary,orbital_period_in_days,orbital_semimajor_axis_in_AU,radius_in_Earth_radii,mass_in_Earth_masses_from_Planetary_Systems_data_frame,density_in_grams_per_cubic_centimeter,orbital_eccentricity,insolation_flux_in_Earth_flux,equilibrium_temperature,spectral_type,stellar_mass_in_Sun_masses,stellar_luminosity,stellar_surface_gravity,type,short_description,discovery_reference,planetary parameter reference,description,url,subtitle
3816,3816,2,3,0,1,303.227,0.9638,4.65,3.17,0.17,0.044,,,,0.96,,,,,<a refstr=OROSZ_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012Sci...337.1511O/abstract target=ref> Orosz et al. 2012 </a>,<a refstr=OROSZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..174O/abstract target=ref>Orosz et al. 2019</a>,,,
3817,3817,2,3,0,1,187.366,0.6992,7.04,19.02,0.3,0.024,,,,0.96,,,,,<a refstr=OROSZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..174O/abstract target=ref>Orosz et al. 2019</a>,<a refstr=OROSZ_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157..174O/abstract target=ref>Orosz et al. 2019</a>,,,
3859,3859,1,1,0,0,3.5484657,0.0538,15.984,670.93913,0.4,,,1750.0,,1.37,,3.96,,,<a refstr=KOCH_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...713L.131K/abstract target=ref> Koch et al. 2010 </a>,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,,,
3872,3872,1,3,0,0,45.154,0.2514,7.1,2.1,0.03,0.04,,543.0,,1.04,,4.51,,,<a refstr=STEFFEN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.428.1077S/abstract target=ref> Steffen et al. 2013 </a>,<a refstr=MASUDA_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783...53M/abstract target=ref> Masuda 2014 </a>,,,
3873,3873,1,3,0,0,85.312,0.384,9.0,4.0,0.03,0.014,,439.0,,1.04,,4.51,,,<a refstr=STEFFEN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.428.1077S/abstract target=ref> Steffen et al. 2013 </a>,<a refstr=MASUDA_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783...53M/abstract target=ref> Masuda 2014 </a>,,,
3874,3874,1,3,0,0,130.194,0.509,9.7,7.6,0.046,0.008,,381.0,,1.04,,4.51,,,<a refstr=MASUDA_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783...53M/abstract target=ref> Masuda 2014 </a>,<a refstr=MASUDA_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783...53M/abstract target=ref> Masuda 2014 </a>,,,
3915,3915,2,1,0,0,81.73778,0.4669,2.215,10.6,5.4,0.041,2.99,380.0,,0.89,,4.51,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MAYO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..165M/abstract target=ref>Mayo et al. 2019</a>,,,
3916,3916,1,2,0,0,125.63243,0.4988,8.373,308.2951,2.9,0.39,,388.0,G2 V,1.05,,4.5,,,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,<a refstr=MANCINI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...590A.112M/abstract target=ref>Mancini et al. 2016</a>,,,
3948,3948,1,3,0,0,10.5016,0.1028,6.51,22.1,0.442,,,,,1.32,,3.31,,,<a refstr=STEFFEN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.428.1077S/abstract target=ref> Steffen et al. 2013 </a>,<a refstr=HUBER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...342..331H/abstract target=ref> Huber et al. 2013 </a>,,,
3949,3949,1,3,0,0,21.40239,0.1652,9.8,181.0,1.06,,,,,1.32,,3.31,,,<a refstr=STEFFEN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.428.1077S/abstract target=ref> Steffen et al. 2013 </a>,<a refstr=HUBER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...342..331H/abstract target=ref> Huber et al. 2013 </a>,,,
4002,4002,1,1,0,0,3.2346996,0.04852,14.617,212.31044,0.4,,,1460.0,,1.21,,4.24,,,<a refstr=DUNHAM_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...713L.136D/abstract target=ref> Dunham et al. 2010 </a>,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,,,
4051,4051,1,1,0,0,9.4341505,0.08,6.11,120.0,3.0,0.45,,,,0.98,-0.157,4.52,,,<a refstr=SANCHIS_OJEDA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...775...54S/abstract target=ref> Sanchis-Ojeda et al. 2013 </a>,<a refstr=SANCHIS_OJEDA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...775...54S/abstract target=ref> Sanchis-Ojeda et al. 2013 </a>,,,
4135,4135,1,1,0,0,4.8854892,0.06067,18.181,140.16303,0.14,,,1630.0,,1.36,,3.98,,,<a refstr=LATHAM_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...713L.140L/abstract target=ref> Latham et al. 2010 </a>,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,,,
4181,4181,1,1,0,0,7.340711,0.0781,10.76,200.22,0.88,0.0,,1078.0,F8 V,1.18,,4.44,,,<a refstr=HEBRARD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...554A.114H/abstract target=ref> Hebrard et al. 2013 </a>,<a refstr=BONOMO_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...575A..85B/abstract target=ref>Bonomo et al. 2015</a>,,,
4192,4192,1,1,0,0,8.8849116,0.0818,11.77,3209.9,11.0,0.57,,767.0,K0 V,0.91,,4.5,,,<a refstr=HEBRARD_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...554A.114H/abstract target=ref> Hebrard et al. 2013 </a>,<a refstr=BONOMO_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...575A..85B/abstract target=ref>Bonomo et al. 2015</a>,,,
4208,4208,1,1,0,0,1.5449298,0.0274,15.244,638.8383,1.1,,,2140.0,,1.2,,4.2,,,<a refstr=FAIGLER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...771...26F/abstract target=ref> Faigler et al. 2013 </a>,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,,,
4221,4221,1,1,0,0,3.57878087,0.04501,10.761,136.661,0.603,0.0,,1440.0,G5 V,0.95,,4.42,,,<a refstr=GANDOLFI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...557A..74G/abstract target=ref> Gandolfi et al. 2013 </a>,<a refstr=GANDOLFI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...557A..74G/abstract target=ref> Gandolfi et al. 2013 </a>,,,
4246,4246,1,4,0,0,13.4845,0.117,3.47,10.9,1.43,0.015,,,,1.17,0.342,4.27,,,<a refstr=XIE_2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJS..208...22X/abstract target=ref> Xie 2013 </a>,<a refstr=JONTOF_HUTTER_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785...15J/abstract target=ref>Jontof-Hutter et al. 2014</a>,,,
4247,4247,1,4,0,0,27.4029,0.187,3.72,5.9,0.62,0.03,,,,1.17,0.342,4.27,,,<a refstr=XIE_2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJS..208...22X/abstract target=ref> Xie 2013 </a>,<a refstr=JONTOF_HUTTER_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785...15J/abstract target=ref>Jontof-Hutter et al. 2014</a>,,,
4248,4248,1,4,0,0,52.0902,0.287,7.16,6.0,0.09,0.025,,,,1.17,0.342,4.27,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=JONTOF_HUTTER_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785...15J/abstract target=ref>Jontof-Hutter et al. 2014</a>,,,
4249,4249,1,4,0,0,81.0659,0.386,3.49,4.1,0.53,0.012,,,,1.17,0.342,4.27,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=JONTOF_HUTTER_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785...15J/abstract target=ref>Jontof-Hutter et al. 2014</a>,,,
4261,4261,1,1,0,0,3.5224991,0.0474,15.872,187.5197,0.27,,,1680.0,,1.21,,4.17,,,<a refstr=JENKINS_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...724.1108J/abstract target=ref> Jenkins et al. 2010 </a>,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,,,
4262,4262,1,6,0,0,7.05246,0.0648,2.67,6.93,1.38,,,,K5,0.73,-0.77,4.64,,,<a refstr=XIE_2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJS..208...22X/abstract target=ref> Xie 2013 </a>,<a refstr=MACDONALD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..105M/abstract target=ref>MacDonald et al. 2016</a>,,,
4263,4263,1,6,0,0,9.52355,0.0792,2.74,6.74,1.22,,,,K5,0.73,-0.77,4.64,,,<a refstr=XIE_2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJS..208...22X/abstract target=ref> Xie 2013 </a>,<a refstr=MACDONALD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..105M/abstract target=ref>MacDonald et al. 2016</a>,,,
4264,4264,1,6,0,0,3.07222,0.0372,1.53,6.75,7.04,,,,K5,0.73,-0.77,4.64,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=MACDONALD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..105M/abstract target=ref>MacDonald et al. 2016</a>,,,
4265,4265,1,6,0,0,4.64489,0.0491,1.6,4.13,3.75,,,,K5,0.73,-0.77,4.64,,,<a refstr=ROWE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...784...45R/abstract target=ref> Rowe et al. 2014</a>,<a refstr=MACDONALD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..105M/abstract target=ref>MacDonald et al. 2016</a>,,,
4292,4292,1,5,0,0,26.44,0.1683,4.07,12.15,0.98,0.0033,,,,0.91,,,,,<a refstr=XIE_2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJS..208...22X/abstract target=ref> Xie 2013 </a>,<a refstr=FREUDENTHAL_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...628A.108F/abstract target=ref>Freudenthal et al. 2019</a>,,,
4293,4293,1,5,0,0,51.54,0.2626,5.34,13.9,0.494,0.007,,,,0.91,,,,,<a refstr=XIE_2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJS..208...22X/abstract target=ref> Xie 2013 </a>,<a refstr=FREUDENTHAL_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...628A.108F/abstract target=ref>Freudenthal et al. 2019</a>,,,
4358,4358,1,2,0,0,114.73635,0.481,13.49,324.2,0.729,0.036,,478.0,,1.1,,3.96,,,<a refstr=OFIR_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...561A.103O/abstract target=ref> Ofir et al. 2014 </a>,<a refstr=OFIR_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...561A.103O/abstract target=ref> Ofir et al. 2014 </a>,,,
4359,4359,1,2,0,0,191.2318,0.676,6.14,6.4,0.152,0.039,,403.0,,1.1,,3.96,,,<a refstr=OFIR_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...561A.103O/abstract target=ref> Ofir et al. 2014 </a>,<a refstr=OFIR_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...561A.103O/abstract target=ref> Ofir et al. 2014 </a>,,,
4392,4392,1,3,0,0,19.23891,0.143,8.29,43.4,0.42,0.0609,,,,1.02,-0.038,4.49,,,<a refstr=HOLMAN_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010Sci...330...51H/abstract target=ref> Holman et al. 2010 </a>,<a refstr=BORSATO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.3233B/abstract target=ref>Borsato et al. 2019</a>,,,
4393,4393,1,3,0,0,38.9853,0.227,8.08,29.9,0.31,0.06691,,,,1.02,-0.038,4.49,,,<a refstr=HOLMAN_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010Sci...330...51H/abstract target=ref> Holman et al. 2010 </a>,<a refstr=BORSATO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.484.3233B/abstract target=ref>Borsato et al. 2019</a>,,,
4407,4407,1,1,0,0,6.24658,0.0731,15.323,257.4423,0.4,,,2040.0,,1.31,,2.95,,,<a refstr=LILLO_BOX_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...562A.109L/abstract target=ref> Lillo-Box et al. 2014 </a>,<a refstr=ESTEVES_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...804..150E/abstract target=ref>Esteves et al. 2015</a>,,,
4519,4519,1,1,0,0,1.4015,0.02091,1.39,4.6,9.6,0.21,,965.0,M1 V,0.62,-1.172,4.04,,,<a refstr=ASTUDILLO_DEFRU_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..58A/abstract target=ref>Astudillo-Defru et al. 2020</a>,<a refstr=ASTUDILLO_DEFRU_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..58A/abstract target=ref>Astudillo-Defru et al. 2020</a>,,,
4520,4520,1,4,0,0,2.2531136,0.02191,0.85,0.4,3.6,0.103,24.7,627.0,M3 V,0.27,-1.948,4.86,Terrestrial,L 98-59 b is a terrestrial exoplanet that orbits an M-type star. Its mass is 0.4 EarthsCOMMA it takes 2.3 days to complete one orbit of its starCOMMA and is 0.02191 AU from its star. Its discovery was announced in 2019.,<a refstr=KOSTOV_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...32K/abstract target=ref>Kostov et al. 2019</a>,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..41D/abstract target=ref>Demangeon et al. 2021</a>,L 98-59 b is a terrestrial exoplanet that orbits an M-type star. Its mass is 0.4 EarthsCOMMA it takes 2.3 days to complete one orbit of its starCOMMA and is 0.02191 AU from its star. Its discovery was announced in 2019.,/exoplanet-catalog/7411/l-98-59-b/,A rocky world outside our solar system
4521,4521,1,4,0,0,3.6906777,0.0304,1.385,2.22,4.57,0.103,12.8,553.0,M3 V,0.27,-1.948,4.86,,,<a refstr=KOSTOV_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...32K/abstract target=ref>Kostov et al. 2019</a>,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..41D/abstract target=ref>Demangeon et al. 2021</a>,,,
4522,4522,1,4,0,0,7.4507245,0.0486,1.521,1.94,2.95,0.074,5.01,416.0,M3 V,0.27,-1.948,4.86,,,<a refstr=KOSTOV_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158...32K/abstract target=ref>Kostov et al. 2019</a>,<a refstr=DEMANGEON_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..41D/abstract target=ref>Demangeon et al. 2021</a>,,,
4524,4524,1,2,0,0,24.73694,0.0957,1.635,6.38,8.04,0.096,,379.0,,0.19,-2.488,,,,<a refstr=DITTMANN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017Natur.544..333D/abstract target=ref>Dittmann et al. 2017</a>,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.121L/abstract target=ref>Lillo-Box et al. 2020</a>,,,
4525,4525,1,2,0,0,3.77792,0.02734,1.169,1.76,6.07,0.274,,709.0,,0.19,-2.488,,,,<a refstr=MENT_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....157...32M/abstract target=ref>Ment et al. 2019</a>,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...642A.121L/abstract target=ref>Lillo-Box et al. 2020</a>,,,
4526,4526,1,1,0,0,1.9495378,0.01848,1.242,2.33,6.67,,,595.0,m3 V,0.24,-2.146,4.87,,,<a refstr=SOTO_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.144S/abstract target=ref>Soto et al. 2021</a>,<a refstr=SOTO_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...649A.144S/abstract target=ref>Soto et al. 2021</a>,,,
4527,4527,2,2,0,0,0.8602322,0.01251,0.696,0.35,6.0,0.25,93.2,,M2.0 V,0.34,-1.839,,Terrestrial,LHS 1678 b is a terrestrial exoplanet that orbits an M-type star. Its mass is 0.35 EarthsCOMMA it takes 0.9 days to complete one orbit of its starCOMMA and is 0.01251 AU from its star. Its discovery was announced in 2021.,<a refstr=SILVERSTEIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..151S/abstract target=ref>Silverstein et al. 2022</a>,<a refstr=SILVERSTEIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..151S/abstract target=ref>Silverstein et al. 2022</a>,LHS 1678 b is a terrestrial exoplanet that orbits an M-type star. Its mass is 0.35 EarthsCOMMA it takes 0.9 days to complete one orbit of its starCOMMA and is 0.01251 AU from its star. Its discovery was announced in 2021.,/exoplanet-catalog/8026/lhs-1678-b/,A rocky world outside our solar system
4528,4528,2,2,0,0,3.694247,0.0331,0.982,1.4,10.6,0.22,13.5,,M2.0 V,0.34,-1.839,,,,<a refstr=SILVERSTEIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..151S/abstract target=ref>Silverstein et al. 2022</a>,<a refstr=SILVERSTEIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..151S/abstract target=ref>Silverstein et al. 2022</a>,,,
4531,4531,1,1,0,0,4.052037,0.0417,4.7,30.8,1.7,0.04,,700.0,M0.0 V,0.59,-1.125,4.64,,,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A.127D/abstract target=ref>Dreizler et al. 2020</a>,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A.127D/abstract target=ref>Dreizler et al. 2020</a>,,,
4537,4537,3,2,0,0,5.3587657,0.03813,1.305,2.87,7.1,0.11,5.4,424.0,,0.26,,,,,<a refstr=WINTERS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..152W/abstract target=ref>Winters et al. 2019</a>,<a refstr=WINTERS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714737W/abstract target=ref>Winters et al. 2021</a>,,,
4538,4538,3,2,0,0,3.1239035,0.02661,1.147,1.54,5.57,0.223,10.9,508.0,,0.26,,,,,<a refstr=WINTERS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714737W/abstract target=ref>Winters et al. 2021</a>,<a refstr=WINTERS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714737W/abstract target=ref>Winters et al. 2021</a>,,,
4539,4539,2,2,0,0,0.768448,0.01211,1.332,2.62,6.1,0.0,106.0,892.0,M4 V,0.4,,4.9,,,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,,,
4540,4540,2,2,0,0,12.2519,0.07673,2.3,8.6,3.9,0.06,2.63,353.0,M4 V,0.4,,4.9,,,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,,,
4541,4541,1,1,0,0,0.792052,0.01679,4.72,29.32,1.536,0.0,,1978.0,G7 V,0.77,-0.149,4.35,,,<a refstr=JENKINS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs.tmp..180J/abstract target=ref>Jenkins et al. 2020</a>,<a refstr=JENKINS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs.tmp..180J/abstract target=ref>Jenkins et al. 2020</a>,,,
4544,4544,1,1,0,0,3.91405,0.0464,9.976,257.431,1.4,0.0,,,,0.87,,,,,<a refstr=WELDRAKE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...675L..37W/abstract target=ref> Weldrake et al. 2008 </a>,<a refstr=WELDRAKE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...675L..37W/abstract target=ref> Weldrake et al. 2008 </a>,,,
4545,4545,1,1,0,0,2.14878,0.043,16.814,1175.971,1.5,0.0,,2570.0,A8,1.72,1.176,4.0,,,<a refstr=TALENS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...606A..73T/abstract target=ref>Talens et al. 2017</a>,<a refstr=TALENS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...606A..73T/abstract target=ref>Talens et al. 2017</a>,,,
4579,4579,1,1,0,0,2.647298,0.0326,14.908,258.07796,0.42,0.016,65.3,790.0,M0.5,0.62,,4.71,,,<a refstr=BAYLISS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4467B/abstract target=ref>Bayliss et al. 2018</a>,<a refstr=BAYLISS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4467B/abstract target=ref>Bayliss et al. 2018</a>,,,
4580,4580,1,1,0,0,0.7668944,0.0143,13.507,687.14846,1.43,0.0,,1332.0,K5 V,0.7,,4.59,,,<a refstr=MCCORMAC_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..126M/abstract target=ref>McCormac et al. 2020</a>,<a refstr=MCCORMAC_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..126M/abstract target=ref>McCormac et al. 2020</a>,,,
4581,4581,1,1,0,0,35.45533,0.201,9.158,109.33352,0.78,0.13,,435.0,K,0.86,,4.5,,,<a refstr=GILL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...898L..11G/abstract target=ref>Gill et al. 2020</a>,<a refstr=GILL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...898L..11G/abstract target=ref>Gill et al. 2020</a>,,,
4582,4582,1,1,0,0,7.532806,0.0757,11.747,66.10864,0.223,0.0,416.0,1257.0,G,1.02,,4.04,,,<a refstr=BRYANT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.tmp.2785B/abstract target=ref>Bryant et al. 2020</a>,<a refstr=BRYANT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.tmp.2785B/abstract target=ref>Bryant et al. 2020</a>,,,
4583,4583,1,1,0,0,4.119027,0.0549,12.801,1538.2972,4.02,0.086,1096.0,1605.0,,1.3,0.517,4.04,,,<a refstr=GRIEVES_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...647A.180G/abstract target=ref>Grieves et al. 2021</a>,<a refstr=GRIEVES_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...647A.180G/abstract target=ref>Grieves et al. 2021</a>,,,
4584,4584,2,1,0,0,3.5357173,0.0403,4.977,29.24036,1.395,0.0,,1143.0,K1 V,0.9,,4.2,,,<a refstr=SMITH_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.183S/abstract target=ref>Smith et al. 2021</a>,<a refstr=SMITH_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.183S/abstract target=ref>Smith et al. 2021</a>,,,
4585,4585,1,1,0,0,3.27623,0.0441,12.33,238.68913,0.74,0.0,425.0,1146.0,G6 V,0.99,,4.4,,,<a refstr=TILBROOK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..893T/abstract target=ref>Tilbrook et al. 2021</a>,<a refstr=TILBROOK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..893T/abstract target=ref>Tilbrook et al. 2021</a>,,,
4586,4586,1,1,0,0,4.84532,0.0523,14.572,211.99155,0.38,0.0,480.0,1177.0,G7 V,1.0,,4.35,,,<a refstr=TILBROOK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..893T/abstract target=ref>Tilbrook et al. 2021</a>,<a refstr=TILBROOK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..893T/abstract target=ref>Tilbrook et al. 2021</a>,,,
4587,4587,1,1,0,0,3.24253,0.0391,13.899,242.8209,0.5,0.0,1160.0,1457.0,G4 V,1.02,,4.0,,,<a refstr=TILBROOK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..893T/abstract target=ref>Tilbrook et al. 2021</a>,<a refstr=TILBROOK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..893T/abstract target=ref>Tilbrook et al. 2021</a>,,,
4588,4588,1,1,0,0,3.05125,0.0448,13.563,129.99182,0.28,0.0,845.0,1381.0,G5 V,1.0,,4.16,,,<a refstr=TILBROOK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..893T/abstract target=ref>Tilbrook et al. 2021</a>,<a refstr=TILBROOK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..893T/abstract target=ref>Tilbrook et al. 2021</a>,,,
