,number_of_stars,number_of_planets,number_of_moons,circumbinary,orbital_period_in_days,orbital_semimajor_axis_in_AU,radius_in_Earth_radii,mass_in_Earth_masses_from_Planetary_Systems_data_frame,density_in_grams_per_cubic_centimeter,orbital_eccentricity,insolation_flux_in_Earth_flux,equilibrium_temperature,spectral_type,stellar_mass_in_Sun_masses,stellar_luminosity,stellar_surface_gravity,type,short_description,discovery_reference,planetary parameter reference,description,url,subtitle
4528,2,2,0,0,3.694247,0.0331,0.982,1.4,10.6,0.22,13.5,,M2.0 V,0.34,-1.839,,,,<a refstr=SILVERSTEIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..151S/abstract target=ref>Silverstein et al. 2022</a>,<a refstr=SILVERSTEIN_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163..151S/abstract target=ref>Silverstein et al. 2022</a>,,,
4529,1,1,0,0,3.81433,0.0404,1.088,8.7,,0,,617,M1,0.5,-1.387,4.77,,,<a refstr=GAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..160G/abstract target=ref>Gan et al. 2020</a>,<a refstr=GAN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..160G/abstract target=ref>Gan et al. 2020</a>,,,
4530,1,1,0,0,0.46292913,0.00622,1.303,,,,70.1,805,M5,0.15,-2.565,5.06,,,<a refstr=VANDERSPEK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...871L..24V/abstract target=ref>Vanderspek et al. 2019</a>,<a refstr=VANDERSPEK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...871L..24V/abstract target=ref>Vanderspek et al. 2019</a>,,,
4531,1,1,0,0,4.052037,0.0417,4.7,30.8,1.7,0.04,,700,M0.0 V,0.59,-1.125,4.64,,,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A.127D/abstract target=ref>Dreizler et al. 2020</a>,<a refstr=DREIZLER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...644A.127D/abstract target=ref>Dreizler et al. 2020</a>,,,
4532,1,2,0,0,0.948005,0.00969,1.12,,,0,21.5,650,M(6.1+/-0.7) V,0.14,-2.697,5.12,,,<a refstr=CROSSFIELD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883L..16C/abstract target=ref>Crossfield et al. 2019</a>,<a refstr=CROSSFIELD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883L..16C/abstract target=ref>Crossfield et al. 2019</a>,,,
4533,1,2,0,0,4.989963,0.029392,2.31,,,0,2.35,370,M(6.1+/-0.7) V,0.14,-2.697,5.12,,,<a refstr=CROSSFIELD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883L..16C/abstract target=ref>Crossfield et al. 2019</a>,<a refstr=CROSSFIELD_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJ...883L..16C/abstract target=ref>Crossfield et al. 2019</a>,,,
4534,1,2,0,0,2.7299025,0.01875,1.32,13.2,,,4.09,396,M6 V,0.12,-2.841,5.13,,,<a refstr=DELREZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220902831D/abstract target=ref>Delrez et al. 2022</a>,<a refstr=DELREZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220902831D/abstract target=ref>Delrez et al. 2022</a>,,,
4535,1,2,0,0,8.457463,0.03984,1.367,25.3,,,0.91,272,M6 V,0.12,-2.841,5.13,,,<a refstr=DELREZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220902831D/abstract target=ref>Delrez et al. 2022</a>,<a refstr=DELREZ_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220902831D/abstract target=ref>Delrez et al. 2022</a>,,,
4536,1,1,0,0,14.4399,0.0876,,,,0.183,,,M3.0 V,0.43,-1.699,4.95,,,<a refstr=LALITHA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A.116L/abstract target=ref>Lalitha et al. 2019</a>,<a refstr=LALITHA_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A.116L/abstract target=ref>Lalitha et al. 2019</a>,,,
4537,3,2,0,0,5.3587657,0.03813,1.305,2.87,7.1,0.11,5.4,424,,0.26,,,,,<a refstr=WINTERS_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..152W/abstract target=ref>Winters et al. 2019</a>,<a refstr=WINTERS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714737W/abstract target=ref>Winters et al. 2021</a>,,,
4538,3,2,0,0,3.1239035,0.02661,1.147,1.54,5.57,0.223,10.9,508,,0.26,,,,,<a refstr=WINTERS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714737W/abstract target=ref>Winters et al. 2021</a>,<a refstr=WINTERS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021arXiv210714737W/abstract target=ref>Winters et al. 2021</a>,,,
4539,2,2,0,0,0.768448,0.01211,1.332,2.62,6.1,0,106,892,M4 V,0.4,,4.9,,,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,,,
4540,2,2,0,0,12.2519,0.07673,2.3,8.6,3.9,0.06,2.63,353,M4 V,0.4,,4.9,,,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,<a refstr=CLOUTIER_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....3C/abstract target=ref>Cloutier et al. 2020</a>,,,
4541,1,1,0,0,0.792052,0.01679,4.72,29.32,1.536,0,,1978,G7 V,0.77,-0.149,4.35,,,<a refstr=JENKINS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs.tmp..180J/abstract target=ref>Jenkins et al. 2020</a>,<a refstr=JENKINS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020NatAs.tmp..180J/abstract target=ref>Jenkins et al. 2020</a>,,,
4542,1,2,0,0,,14.7,,,,,,,,,,,,,<a refstr=SALLUM_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Natur.527..342S/abstract target=ref>Sallum et al. 2015</a>,<a refstr=SALLUM_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Natur.527..342S/abstract target=ref>Sallum et al. 2015</a>,,,
4543,1,2,0,0,,18.6,,,,,,,,,,,,,<a refstr=SALLUM_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Natur.527..342S/abstract target=ref>Sallum et al. 2015</a>,<a refstr=SALLUM_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Natur.527..342S/abstract target=ref>Sallum et al. 2015</a>,,,
4544,1,1,0,0,3.91405,0.0464,9.976,257.431,1.4,0,,,,0.87,,,,,<a refstr=WELDRAKE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...675L..37W/abstract target=ref> Weldrake et al. 2008 </a>,<a refstr=WELDRAKE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...675L..37W/abstract target=ref> Weldrake et al. 2008 </a>,,,
4545,1,1,0,0,2.14878,0.043,16.814,1175.971,1.5,0,,2570,A8,1.72,1.176,4,,,<a refstr=TALENS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...606A..73T/abstract target=ref>Talens et al. 2017</a>,<a refstr=TALENS_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...606A..73T/abstract target=ref>Talens et al. 2017</a>,,,
4546,2,1,0,0,2.82406,0.047,17.15,985.273,,0,,2100,A7 V,1.75,1.087,4.1,,,<a refstr=DORVAL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A..60D/abstract target=ref>Dorval et al. 2020</a>,<a refstr=DORVAL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...635A..60D/abstract target=ref>Dorval et al. 2020</a>,,,
4547,1,1,0,0,,0.62,,3.3,,,,,,0.06,,,,,<a refstr=BENNETT_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...684..663B/abstract target=ref> Bennett et al. 2008 </a>,<a refstr=BENNETT_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...684..663B/abstract target=ref> Bennett et al. 2008 </a>,,,
4548,1,1,0,0,,6.5,,260,,,,103,,0.3,,,,,<a refstr=DONG_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...698.1826D/abstract target=ref> Dong et al. 2009 </a>,<a refstr=DONG_ET_AL__2009 href=https://ui.adsabs.harvard.edu/abs/2009ApJ...698.1826D/abstract target=ref> Dong et al. 2009 </a>,,,
4549,1,1,0,0,,1.1,,23.4,,,,,,0.21,,,,,<a refstr=JANCZAK_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...711..731J/abstract target=ref> Janczak et al. 2010 </a>,<a refstr=BHATTACHARYA_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154...59B/abstract target=ref>Bhattacharya et al. 2017</a>,,,
4550,1,1,0,0,,2.7,,1300,,,,,K,0.56,,,,,<a refstr=SUZUKI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780..123S/abstract target=ref> Suzuki et al. 2014 </a>,<a refstr=SUZUKI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780..123S/abstract target=ref> Suzuki et al. 2014 </a>,,,
4551,1,1,0,0,2800,3.2,,10.4,,,,,,0.56,,,,,<a refstr=MURAKI_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...741...22M/abstract target=ref> Muraki et al. 2011 </a>,<a refstr=MURAKI_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...741...22M/abstract target=ref> Muraki et al. 2011 </a>,,,
4552,1,1,0,0,,2.03,,67.3,,,,,,0.52,,,,,<a refstr=MIYAKE_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJ...728..120M/abstract target=ref> Miyake et al. 2011 </a>,<a refstr=TERRY_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...54T/abstract target=ref>Terry et al. 2021</a>,,,
4553,1,1,0,0,1980,1.8,,830,,,,,,0.19,,,,,<a refstr=BATISTA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...529A.102B/abstract target=ref> Batista et al. 2011 </a>,<a refstr=BATISTA_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011A%26A...529A.102B/abstract target=ref> Batista et al. 2011 </a>,,,
4554,1,1,0,0,,1.21,,3500,,,,,,0.16,,,,,<a refstr=STREET_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...763...67S/abstract target=ref> Street et al. 2013 </a>,<a refstr=STREET_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...763...67S/abstract target=ref> Street et al. 2013 </a>,,,
4555,1,1,0,0,,2.42,,170,,,,,,0.58,,,,,<a refstr=BENNETT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..141B/abstract target=ref>Bennett et al. 2018</a>,<a refstr=BENNETT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..141B/abstract target=ref>Bennett et al. 2018</a>,,,
4556,1,1,0,0,,0.92,,9.2,,,,,,0.11,,,,,<a refstr=FURUSAWA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779...91F/abstract target=ref>Furusawa et al. 2013</a>,<a refstr=FURUSAWA_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779...91F/abstract target=ref>Furusawa et al. 2013</a>,,,
4557,1,1,0,0,,1.72,,86,,,,,,0.18,,,,,<a refstr=RATTENBURY_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.454..946R/abstract target=ref>Rattenbury et al. 2015</a>,<a refstr=RATTENBURY_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.454..946R/abstract target=ref>Rattenbury et al. 2015</a>,,,
4558,1,1,0,0,,2,,480,,,,,,0.67,,,,,<a refstr=BACHELET_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...754...73B/abstract target=ref> Bachelet et al. 2012 </a>,<a refstr=BACHELET_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...754...73B/abstract target=ref> Bachelet et al. 2012 </a>,,,
4559,1,1,0,0,,4.14,,30,,,,,,0.75,,,,,<a refstr=SKOWRON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820....4S/abstract target=ref>Skowron et al. 2016</a>,<a refstr=SKOWRON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...820....4S/abstract target=ref>Skowron et al. 2016</a>,,,
4560,1,1,0,0,,0.95,,17,,,,,,0.11,,,,,<a refstr=BENNETT_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785..155B/abstract target=ref>Bennett et al. 2014</a>,<a refstr=BENNETT_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785..155B/abstract target=ref>Bennett et al. 2014</a>,,,
4561,1,1,0,0,,0.69,,18,,,,,,0.15,,,,,<a refstr=BENNETT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..113B/abstract target=ref>Bennett et al. 2018</a>,<a refstr=BENNETT_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..113B/abstract target=ref>Bennett et al. 2018</a>,,,
4562,1,1,0,0,,1.1,,1500,,,,,,0.86,,,,,<a refstr=YEE_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...755..102Y/abstract target=ref> Yee et al. 2012 </a>,<a refstr=BATISTA_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...780...54B/abstract target=ref> Batista et al. 2014 </a>,,,
4563,1,1,0,0,,4.3,,3690,,,,,,0.39,,,,,<a refstr=SHVARTZVALD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.439..604S/abstract target=ref> Shvartzvald et al. 2014 </a>,<a refstr=SHVARTZVALD_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.439..604S/abstract target=ref> Shvartzvald et al. 2014 </a>,,,
4564,1,1,0,0,,10.2,,2700,,,,,,0.49,,,,,<a refstr=POLESKI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...604A.103P/abstract target=ref>Poleski et al. 2017</a>,<a refstr=POLESKI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...604A.103P/abstract target=ref>Poleski et al. 2017</a>,,,
4565,1,1,0,0,,0.9,,6.7,,,,,,0.1,,,,,<a refstr=NAGAKANE_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154...35N/abstract target=ref>Nagakane et al. 2017</a>,<a refstr=NAGAKANE_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154...35N/abstract target=ref>Nagakane et al. 2017</a>,,,
4566,1,1,0,0,,3.03,,871,,,,,,0.88,,,,,<a refstr=YEE_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...790...14Y/abstract target=ref>Yee et al. 2014</a>,<a refstr=VANDOROU_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..121V/abstract target=ref>Vandorou et al. 2020</a>,,,
4567,1,1,0,0,,0.93,,3.24,,,,,,0.02,,,,,<a refstr=SUMI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...825..112S/abstract target=ref>Sumi et al. 2016</a>,<a refstr=SUMI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...825..112S/abstract target=ref>Sumi et al. 2016</a>,,,
4568,1,1,0,0,,0.24,,33.7,,,,,,0.01,,,,,<a refstr=MIYAZAKI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..136M/abstract target=ref>Miyazaki et al. 2018</a>,<a refstr=MIYAZAKI_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..136M/abstract target=ref>Miyazaki et al. 2018</a>,,,
4569,1,1,0,0,,1.39,,890,,,,,,0.29,,,,,<a refstr=KOSHIMOTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154....3K/abstract target=ref>Koshimoto et al. 2017</a>,<a refstr=KOSHIMOTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154....3K/abstract target=ref>Koshimoto et al. 2017</a>,,,
4570,1,1,0,0,,0.95,,200,,,,,,0.15,,,,,<a refstr=HAN_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..226H/abstract target=ref>Han et al. 2018</a>,<a refstr=HAN_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156..226H/abstract target=ref>Han et al. 2018</a>,,,
4571,1,1,0,0,,8.3,,1200,,,,,,0.75,,,,,<a refstr=BENNETT_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...757..119B/abstract target=ref> Bennett et al. 2012 </a>,<a refstr=BENNETT_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012ApJ...757..119B/abstract target=ref> Bennett et al. 2012 </a>,,,
4572,1,1,0,0,,0.48,,190,,,,,,0.03,,,,,<a refstr=KONDO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..224K/abstract target=ref>Kondo et al. 2019</a>,<a refstr=KONDO_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..224K/abstract target=ref>Kondo et al. 2019</a>,,,
4573,2,1,0,1,760,1.613,,7532.571,,,,,,,,,,,<a refstr=JAIN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.468L.118J/abstract target=ref>Jain et al. 2017</a>,<a refstr=JAIN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017MNRAS.468L.118J/abstract target=ref>Jain et al. 2017</a>,,,
4574,1,1,0,0,121.71,0.53,,,,0.35,,,,9.06,,2.2,,,<a refstr=BRUCALASSI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...561L...9B/abstract target=ref> Brucalassi et al. 2014 </a>,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,,
4575,1,1,0,0,511.21,,,,,0.16,,,K4 III,1.37,,1.8,,,<a refstr=BRUCALASSI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...603A..85B/abstract target=ref>Brucalassi et al. 2017</a>,<a refstr=BRUCALASSI_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...603A..85B/abstract target=ref>Brucalassi et al. 2017</a>,,,
4576,1,1,0,0,6.959,,,,,0.3,,,G5 V,1.01,,4.44,,,<a refstr=BRUCALASSI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...561L...9B/abstract target=ref> Brucalassi et al. 2014 </a>,<a refstr=BRUCALASSI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...592L...1B/abstract target=ref>Brucalassi et al. 2016</a>,,,
4577,1,1,0,0,5.118,,,,,0.28,,,G5 V,0.96,,4.57,,,<a refstr=BRUCALASSI_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014A%26A...561L...9B/abstract target=ref> Brucalassi et al. 2014 </a>,<a refstr=BRUCALASSI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...592L...1B/abstract target=ref>Brucalassi et al. 2016</a>,,,
4578,1,1,0,0,4.087,,,,,0.15,,,F9 V,1.14,,4.3,,,<a refstr=BRUCALASSI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...592L...1B/abstract target=ref>Brucalassi et al. 2016</a>,<a refstr=BRUCALASSI_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...592L...1B/abstract target=ref>Brucalassi et al. 2016</a>,,,
4579,1,1,0,0,2.647298,0.0326,14.908,258.07796,0.42,0.016,65.3,790,M0.5,0.62,,4.71,,,<a refstr=BAYLISS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4467B/abstract target=ref>Bayliss et al. 2018</a>,<a refstr=BAYLISS_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.475.4467B/abstract target=ref>Bayliss et al. 2018</a>,,,
4580,1,1,0,0,0.7668944,0.0143,13.507,687.14846,1.43,0,,1332,K5 V,0.7,,4.59,,,<a refstr=MCCORMAC_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..126M/abstract target=ref>McCormac et al. 2020</a>,<a refstr=MCCORMAC_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.493..126M/abstract target=ref>McCormac et al. 2020</a>,,,
4581,1,1,0,0,35.45533,0.201,9.158,109.33352,0.78,0.13,,435,K,0.86,,4.5,,,<a refstr=GILL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...898L..11G/abstract target=ref>Gill et al. 2020</a>,<a refstr=GILL_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020ApJ...898L..11G/abstract target=ref>Gill et al. 2020</a>,,,
4582,1,1,0,0,7.532806,0.0757,11.747,66.10864,0.223,0,416,1257,G,1.02,,4.04,,,<a refstr=BRYANT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.tmp.2785B/abstract target=ref>Bryant et al. 2020</a>,<a refstr=BRYANT_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.tmp.2785B/abstract target=ref>Bryant et al. 2020</a>,,,
4583,1,1,0,0,4.119027,0.0549,12.801,1538.2972,4.02,0.086,1096,1605,,1.3,0.517,4.04,,,<a refstr=GRIEVES_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...647A.180G/abstract target=ref>Grieves et al. 2021</a>,<a refstr=GRIEVES_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...647A.180G/abstract target=ref>Grieves et al. 2021</a>,,,
4584,2,1,0,0,3.5357173,0.0403,4.977,29.24036,1.395,0,,1143,K1 V,0.9,,4.2,,,<a refstr=SMITH_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.183S/abstract target=ref>Smith et al. 2021</a>,<a refstr=SMITH_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...646A.183S/abstract target=ref>Smith et al. 2021</a>,,,
4585,1,1,0,0,3.27623,0.0441,12.33,238.68913,0.74,0,425,1146,G6 V,0.99,,4.4,,,<a refstr=TILBROOK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..893T/abstract target=ref>Tilbrook et al. 2021</a>,<a refstr=TILBROOK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..893T/abstract target=ref>Tilbrook et al. 2021</a>,,,
4586,1,1,0,0,4.84532,0.0523,14.572,211.99155,0.38,0,480,1177,G7 V,1,,4.35,,,<a refstr=TILBROOK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..893T/abstract target=ref>Tilbrook et al. 2021</a>,<a refstr=TILBROOK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..893T/abstract target=ref>Tilbrook et al. 2021</a>,,,
4587,1,1,0,0,3.24253,0.0391,13.899,242.8209,0.5,0,1160,1457,G4 V,1.02,,4,,,<a refstr=TILBROOK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..893T/abstract target=ref>Tilbrook et al. 2021</a>,<a refstr=TILBROOK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..893T/abstract target=ref>Tilbrook et al. 2021</a>,,,
4588,1,1,0,0,3.05125,0.0448,13.563,129.99182,0.28,0,845,1381,G5 V,1,,4.16,,,<a refstr=TILBROOK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..893T/abstract target=ref>Tilbrook et al. 2021</a>,<a refstr=TILBROOK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..893T/abstract target=ref>Tilbrook et al. 2021</a>,,,
4589,1,1,0,0,4.511164,0.063,17.878,235.1942,0.226,0,,1468,F5 V,1.64,,4.2,,,<a refstr=RAYNARD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.481.4960R/abstract target=ref>Raynard et al. 2018</a>,<a refstr=RAYNARD_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.481.4960R/abstract target=ref>Raynard et al. 2018</a>,,,
4590,1,1,0,0,54.18915,0.313,11.994,947.12865,,0.432,,688,G1 IV,1.47,,3.8,,,<a refstr=ULMER_MOLL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220703911U/abstract target=ref>Ulmer-Moll et al. 2022</a>,<a refstr=ULMER_MOLL_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv220703911U/abstract target=ref>Ulmer-Moll et al. 2022</a>,,,
4591,1,1,0,0,1.5433897,0.0236,14.908,750.07504,1.25,0,,1357,K3 V,0.72,,4.63,,,<a refstr=ALVES_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221001027A/abstract target=ref>Alves et al. 2022</a>,<a refstr=ALVES_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022arXiv221001027A/abstract target=ref>Alves et al. 2022</a>,,,
4592,2,1,0,0,1.6753728,0.023,16.589,756.4354,0.31,,,,G6 V,1.02,,,,,<a refstr=G_UUML_NTHER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.478.4720G/abstract target=ref>G&uuml;nther et al. 2018</a>,<a refstr=G_UUML_NTHER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018MNRAS.478.4720G/abstract target=ref>G&uuml;nther et al. 2018</a>,,,
4593,1,1,0,0,1.3373508,0.019,3.18,20.6,3.45,0,,1650,,0.75,,4.5,,,<a refstr=WEST_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.5094W/abstract target=ref>West et al. 2019</a>,<a refstr=WEST_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.486.5094W/abstract target=ref>West et al. 2019</a>,,,
